,Scale,Wavelength (nm),Absorbance Before (Au),Absorbance After (Au),Percent Difference (%),Mean Difference,Standard Deviation,Interval,Lower Bound,Upper Bound,Confidence Interval
0,5.0,330.0,0.43232,0.39248000000000005,-9.215345577696711,-0.03983999999999997,0.0004929503017546425,0.0006120786425924225,-0.0404520786425924,-0.03922792135740755,-0.03984 ± 0.00061
1,10.0,330.0,0.43232,0.36526000000000003,-15.511653640607742,-0.06705999999999998,8.944271909999105e-05,0.00011105780420791127,-0.06717105780420789,-0.06694894219579207,-0.06706 ± 0.00011
2,15.0,330.0,0.43229999999999996,0.35950000000000004,-16.840152004162487,-0.07279999999999998,0.00017320508075686865,0.00021506251308177978,-0.07301506251308175,-0.0725849374869182,-0.0728 ± 0.00022
3,20.0,330.0,0.43229999999999996,0.33444,-22.637033836729156,-0.09785999999999997,0.00038470768123343,0.0004776776776200008,-0.09833767767761997,-0.09738232232237998,-0.09786 ± 0.00048
