,ReferenceNum,Wavelength (nm),Absorbance Before (Au),Absorbance After (Au),Percent Difference (%),Mean Difference,Standard Deviation,Interval,Lower Bound,Upper Bound,Confidence Interval
0,5.0,330.0,0.45942,0.27148,-40.90804492848476,-0.18794,0.00010954451150103384,0.0007833315612212023,-0.2308633315612212,-0.2292966684387788,-0.23008 ± 0.00014
1,4.0,330.0,0.45940000000000003,0.39533999999999997,-13.944256255416978,-0.06406,0.00037013511046644665,0.00041739122144721986,-0.1320373912214472,-0.13120260877855278,-0.13162 ± 0.00046
2,3.0,330.0,0.45938,0.40232,-12.421055852266367,-0.05706,0.0003435112807463374,0.00042652559027959373,-0.05748652559027959,-0.056633474409720407,-0.05706 ± 0.00043
3,2.0,330.0,0.45922,0.3276,-28.66165314302184,-0.13162,0.00033615472627943814,0.00045958344113736097,-0.06451958344113737,-0.06360041655886264,-0.06406 ± 0.00042
4,1.0,330.0,0.45942,0.22934000000000002,-50.08054411415623,-0.23008,0.0006308724118234857,0.00013601747613165214,-0.18807601747613165,-0.18780398252386835,-0.18794 ± 0.00078
